slope_angle_deg,factor_of_safety,green_index,rainfall_mm_day,pore_pressure_kpa,risk_score
41.15,0.86,0.8,11.79,5.96,0.22
28.6,1.23,0.7,4.34,38.37,0.19
35.77,0.98,0.1,19.97,0.0,0.24
38.27,0.98,0.27,41.57,0.0,0.24
53.04,1.01,0.5,26.41,40.65,0.29
53.79,1.14,0.46,26.12,6.39,0.27
44.25,0.75,0.4,24.43,33.16,0.28
31.72,1.32,0.56,1.28,8.0,0.16
35.1,1.49,0.1,10.57,44.17,0.22
40.9,1.76,0.23,5.2,41.24,0.21
28.2,2.07,0.49,5.71,0.0,0.13
17.73,1.13,0.68,45.33,26.65,0.15
19.03,0.92,0.06,10.72,18.89,0.17
39.92,1.39,0.51,6.5,2.55,0.2
35.39,1.46,0.69,0.69,11.06,0.16
18.88,1.14,0.38,7.91,20.37,0.18
46.21,1.25,0.46,7.83,58.45,0.26
20.89,1.8,0.29,26.5,25.55,0.16
36.63,1.45,0.97,24.07,8.9,0.17
40.07,1.75,0.44,9.57,50.53,0.21
30.66,2.32,0.36,31.33,11.92,0.18
36.89,0.67,0.41,5.77,0.0,0.21
41.99,1.34,0.81,6.23,36.87,0.22
18.9,1.81,0.41,20.61,15.87,0.13
49.98,1.09,0.49,51.45,0.0,0.27
14.96,1.55,0.41,9.12,15.48,0.12
26.89,0.92,0.56,15.09,33.6,0.17
18.96,1.16,0.43,50.97,4.56,0.17
29.0,1.5,0.9,11.31,30.94,0.16
16.06,1.72,0.83,14.07,0.0,0.09
30.9,1.2,0.25,16.63,51.14,0.21
37.63,1.41,0.55,33.44,17.23,0.24
17.88,1.36,0.62,11.03,21.87,0.12
18.25,1.59,0.61,3.54,30.5,0.13
27.82,1.77,0.83,0.29,39.54,0.15
47.65,1.07,0.77,9.34,39.98,0.24
47.3,1.14,0.61,3.46,0.0,0.23
15.75,2.36,0.97,2.96,57.62,0.08
58.59,1.07,0.64,1.04,22.27,0.25
34.76,1.52,0.26,13.23,3.56,0.19
37.91,1.86,0.57,16.94,34.94,0.19
29.3,1.41,0.3,3.38,34.1,0.19
42.44,0.45,0.31,4.06,21.59,0.25
19.03,1.14,0.62,15.1,32.0,0.14
28.6,1.06,0.58,13.79,5.63,0.17
54.0,1.07,0.78,32.83,19.72,0.27
35.72,1.88,0.46,19.84,24.11,0.23
25.95,1.5,0.18,2.05,26.89,0.21
50.19,1.71,0.51,3.57,0.0,0.22
28.6,1.02,0.39,8.38,19.75,0.21
31.18,0.69,0.46,4.95,42.41,0.22
35.44,1.53,0.87,3.38,7.4,0.17
26.33,1.42,0.68,6.61,24.14,0.15
24.6,1.06,0.24,4.56,20.6,0.18
26.92,1.73,0.5,6.68,30.99,0.17
42.13,1.04,0.94,4.79,0.0,0.2
48.42,1.43,0.21,0.61,26.12,0.25
25.39,1.47,0.35,19.1,13.69,0.16
44.48,1.45,0.43,15.94,22.66,0.22
50.16,1.6,0.38,11.51,23.63,0.24
43.34,0.68,0.58,10.91,0.0,0.24
46.63,0.37,0.32,35.85,33.97,0.29
47.33,1.65,0.21,52.78,39.13,0.3
61.09,1.59,0.7,13.24,71.33,0.31
49.0,1.25,0.22,9.41,19.32,0.26
28.0,2.17,0.78,7.69,9.07,0.12
30.28,1.59,0.17,7.45,65.06,0.22
31.4,1.74,0.52,21.57,11.21,0.17
49.94,0.89,0.5,0.76,8.31,0.27
43.78,1.19,0.11,5.67,35.16,0.26
39.24,1.2,0.6,25.19,15.17,0.22
7.4,1.33,0.5,4.28,5.59,0.09
42.93,1.22,0.54,17.31,5.96,0.23
54.57,1.21,0.64,16.3,16.81,0.26
60.29,1.02,0.43,13.83,19.8,0.32
16.34,1.44,0.72,7.64,37.23,0.12
11.89,1.62,0.52,8.56,23.76,0.1
27.82,1.59,0.45,10.12,33.09,0.17
21.23,0.76,0.7,28.52,20.49,0.16
48.96,0.92,0.83,5.69,14.44,0.24
51.29,1.31,0.5,22.74,22.03,0.26
36.23,1.61,0.47,4.7,29.56,0.19
32.84,1.09,0.72,5.12,42.6,0.19
32.05,1.04,0.43,3.87,22.1,0.18
37.38,1.92,0.46,29.35,12.23,0.22
45.72,0.95,0.7,22.09,44.77,0.25
13.18,1.03,0.13,18.63,51.13,0.17
27.45,1.32,0.91,3.27,43.94,0.16
45.11,1.17,0.29,7.66,45.56,0.25
44.92,0.42,0.44,10.69,0.0,0.25
33.87,1.81,0.66,23.83,18.88,0.17
39.81,1.37,0.17,4.49,33.1,0.23
71.52,0.57,0.27,4.86,37.65,0.36
24.24,2.24,0.21,11.54,35.38,0.17
64.68,1.12,0.43,15.79,47.12,0.33
26.54,1.34,0.44,14.03,12.94,0.17
51.76,1.24,0.21,11.39,7.0,0.27
39.04,1.17,0.39,2.74,15.36,0.21
53.77,1.53,0.58,8.28,27.24,0.27
52.21,0.86,0.87,22.26,0.0,0.26
46.38,1.58,0.77,16.42,64.73,0.23
39.54,1.26,0.4,6.55,28.92,0.24
72.61,2.12,0.64,2.49,50.74,0.3
17.04,1.9,0.29,5.8,26.74,0.12
37.98,1.77,0.11,1.69,0.0,0.18
17.95,1.02,0.34,17.45,19.03,0.16
32.67,1.33,0.72,28.99,19.91,0.2
49.12,2.07,0.66,1.5,0.0,0.2
51.84,1.1,0.69,21.38,4.92,0.26
39.92,1.26,0.63,14.28,38.92,0.21
20.5,1.31,0.61,1.64,44.3,0.14
35.46,1.24,0.97,42.88,19.67,0.19
9.93,1.25,0.7,0.71,7.67,0.09
16.36,1.17,0.63,24.37,8.93,0.14
51.78,1.04,0.4,2.74,50.98,0.27
29.03,1.87,0.24,0.87,33.43,0.18
44.06,1.0,0.76,14.26,15.95,0.22
46.93,1.44,0.82,3.35,30.92,0.2
5.3,1.45,0.36,17.46,39.24,0.11
34.05,0.98,0.9,5.76,12.09,0.18
53.99,0.8,0.49,22.98,0.0,0.28
55.84,1.0,0.11,10.47,29.12,0.32
39.85,1.66,0.39,10.93,19.82,0.21
37.21,1.32,0.23,29.49,72.45,0.26
25.06,1.56,0.75,8.7,30.25,0.15
17.68,1.72,0.32,14.21,32.06,0.13
45.07,0.58,0.27,24.59,22.6,0.3
40.14,0.82,0.22,14.35,46.46,0.3
30.89,1.31,0.44,17.78,48.66,0.2
7.77,0.73,0.76,15.77,35.33,0.13
66.08,1.11,0.81,19.15,0.0,0.31
47.56,1.5,0.21,15.06,17.7,0.25
48.09,1.39,0.74,2.31,10.4,0.21
45.38,1.55,0.59,21.58,20.26,0.24
23.63,0.76,0.9,12.7,13.03,0.16
23.84,0.89,0.19,18.29,42.48,0.21
29.39,1.28,0.31,14.92,52.2,0.23
27.64,1.49,0.46,4.87,0.45,0.2
42.18,1.21,0.35,8.37,35.04,0.26
34.48,1.47,0.68,7.51,30.95,0.18
52.79,1.73,0.66,6.31,7.16,0.25
42.37,1.08,0.77,1.13,6.57,0.21
56.66,0.28,0.97,3.72,2.48,0.27
14.71,1.32,0.77,1.47,18.65,0.11
34.09,1.01,0.56,31.65,0.0,0.2
26.7,0.98,0.6,18.54,31.17,0.19
45.09,0.98,0.18,1.05,3.86,0.25
36.11,1.46,0.6,12.2,8.4,0.18
50.99,1.39,0.94,8.0,12.39,0.23
42.76,0.78,0.4,4.17,29.9,0.27
27.36,1.6,0.55,8.9,38.06,0.15
22.59,1.16,0.85,5.86,6.54,0.15
41.97,2.33,0.41,44.39,48.35,0.25
38.06,1.67,0.63,19.37,25.06,0.2
49.2,0.95,0.47,22.53,0.0,0.25
26.93,1.68,0.21,18.8,19.41,0.18
15.53,1.99,0.45,12.0,55.61,0.12
37.92,1.42,0.75,9.42,15.85,0.19
19.96,2.03,0.89,8.51,31.17,0.1
38.8,2.03,0.77,40.35,2.91,0.19
43.57,1.68,0.31,6.48,20.65,0.22
37.05,1.64,0.46,10.38,16.0,0.2
34.19,2.1,0.38,1.59,8.74,0.16
53.94,2.12,0.41,0.74,28.16,0.23
50.83,0.32,0.34,12.88,46.47,0.31
28.78,1.32,0.4,30.55,27.03,0.2
19.57,0.99,0.42,1.25,51.04,0.16
13.41,1.05,0.4,29.5,53.04,0.17
46.04,1.45,0.19,6.93,27.64,0.25
37.18,1.39,0.23,6.38,41.11,0.22
26.41,2.08,0.45,25.56,16.16,0.16
37.3,1.36,0.26,12.47,31.92,0.23
27.66,1.54,0.76,13.14,0.0,0.13
34.92,1.35,0.78,10.04,15.21,0.18
19.75,1.21,0.83,2.08,34.06,0.15
32.29,1.45,0.71,5.66,12.36,0.17
50.81,1.21,0.3,1.38,0.0,0.24
14.46,1.71,0.26,16.92,46.62,0.15
71.25,1.82,0.5,16.2,52.92,0.33
39.9,0.92,0.31,8.07,43.85,0.24
18.43,1.82,0.47,8.82,22.39,0.13
30.89,1.96,0.55,20.31,7.1,0.18
67.15,1.77,0.48,23.45,5.98,0.31
16.02,1.83,0.68,37.31,14.34,0.13
27.04,1.21,0.51,10.63,4.9,0.17
39.77,1.63,0.65,16.93,45.04,0.2
32.44,0.43,0.43,36.32,29.5,0.24
7.07,1.07,0.28,15.76,41.13,0.13
52.11,1.44,0.24,16.49,10.92,0.27
4.76,1.46,0.49,12.1,90.82,0.12
30.0,2.46,0.48,8.24,34.5,0.17
39.62,1.48,0.53,39.73,43.38,0.23
34.59,0.96,0.4,14.96,44.47,0.23
16.56,1.43,0.64,25.24,16.57,0.13
19.3,0.66,0.24,9.08,7.47,0.19
26.95,1.17,0.27,11.97,29.73,0.2
54.71,1.04,0.75,4.93,13.73,0.25
22.8,1.5,0.34,1.85,0.82,0.14
26.52,1.07,0.28,3.6,21.77,0.17
41.46,0.75,0.54,7.89,37.55,0.24
35.58,2.81,0.18,8.93,29.54,0.18
17.5,2.09,0.06,11.81,0.0,0.12
20.99,1.32,0.25,6.49,27.98,0.16
36.4,1.16,0.36,20.83,51.65,0.23
33.42,1.64,0.95,11.31,31.46,0.17
35.71,1.27,0.71,1.76,38.84,0.2
38.8,1.79,0.81,23.4,57.35,0.21
41.02,0.84,0.64,4.43,30.55,0.22
39.91,1.59,0.13,9.29,4.04,0.21
32.25,1.46,0.29,24.55,6.87,0.2
42.26,1.7,0.53,24.83,16.55,0.21
21.6,1.92,0.95,20.44,43.11,0.13
21.51,3.37,0.53,1.16,0.0,0.08
42.35,1.65,0.93,12.48,0.0,0.19
23.92,0.96,0.41,21.91,17.23,0.19
25.72,1.13,0.86,7.43,30.52,0.15
1.91,1.49,0.22,25.66,4.09,0.1
14.65,1.88,0.54,7.18,17.52,0.1
42.31,1.38,0.32,18.69,0.0,0.22
28.06,1.6,0.45,35.32,37.52,0.2
22.42,1.5,0.76,0.42,5.05,0.12
50.62,1.8,0.73,57.06,53.11,0.27
36.63,1.41,0.3,1.32,27.26,0.22
21.67,2.01,0.66,6.63,20.99,0.11
31.14,1.89,0.69,1.47,44.05,0.16
25.83,1.66,0.73,21.74,13.67,0.15
30.0,1.8,0.61,18.74,46.41,0.18
26.14,1.41,0.55,4.32,0.0,0.15
16.1,0.98,0.16,2.99,23.46,0.17
27.6,1.53,0.58,33.63,39.42,0.18
13.66,1.73,0.59,2.16,35.84,0.11
31.03,0.95,0.31,28.28,16.35,0.23
36.61,1.45,0.86,2.44,49.79,0.2
25.83,1.57,0.24,21.36,35.36,0.2
42.6,1.21,0.17,1.26,24.09,0.23
43.49,1.37,0.64,12.42,72.36,0.24
57.86,1.34,0.51,2.8,12.7,0.26
23.18,0.98,0.72,24.9,13.91,0.16
37.69,1.51,0.72,19.01,16.3,0.2
47.91,1.37,0.56,13.65,46.11,0.25
20.94,1.23,0.28,4.29,2.88,0.13
8.96,1.24,0.81,11.82,17.86,0.09
12.05,1.3,0.46,5.05,28.32,0.11
44.83,1.37,0.68,4.82,26.34,0.23
26.3,1.18,0.55,8.57,39.63,0.17
44.59,1.37,0.51,5.58,26.19,0.23
48.72,1.31,0.38,6.28,44.3,0.25
51.0,1.3,0.4,37.28,30.03,0.29
25.72,0.57,0.5,5.28,42.49,0.19
8.25,1.22,0.83,4.12,13.98,0.08
44.12,1.09,0.54,11.02,19.84,0.23
33.83,1.15,0.31,7.99,4.65,0.19
30.67,1.22,0.83,6.22,22.64,0.17
4.71,1.78,0.23,3.04,2.91,0.07
44.42,0.58,0.34,4.75,0.0,0.25
37.19,1.25,0.69,30.18,34.34,0.22
52.52,1.09,0.55,17.36,0.0,0.28
46.03,1.05,0.14,6.39,24.01,0.25
30.0,1.78,0.7,4.25,18.06,0.15
44.6,1.11,0.14,11.2,34.96,0.26
43.59,0.94,0.3,29.99,10.38,0.27
18.22,1.76,0.69,1.84,49.15,0.12
32.96,1.3,0.3,12.67,24.13,0.21
12.89,1.25,0.75,15.5,30.12,0.12
30.48,1.68,0.46,30.78,40.71,0.23
16.16,1.29,0.82,14.7,35.7,0.12
16.85,2.07,0.72,45.71,16.23,0.13
39.1,1.65,0.09,22.5,45.98,0.24
41.37,1.43,0.69,17.75,29.76,0.21
36.13,1.7,0.77,1.67,0.0,0.16
46.71,1.49,0.72,2.94,11.51,0.2
55.48,1.44,0.59,1.04,18.22,0.26
34.66,1.16,0.66,9.51,0.0,0.18
43.29,1.85,0.62,4.08,19.47,0.21
21.4,0.95,0.53,31.09,37.35,0.18
26.03,0.98,0.15,17.24,19.04,0.2
43.29,1.46,0.29,7.45,56.78,0.25
46.15,1.95,0.19,11.65,0.0,0.22
15.46,1.31,0.09,12.2,37.4,0.15
35.12,0.56,0.66,14.03,0.0,0.21
34.43,1.46,0.44,11.5,33.61,0.18
28.2,1.79,0.65,15.47,44.41,0.18
43.54,1.51,0.35,0.51,14.19,0.25
12.54,1.08,0.04,8.66,14.56,0.15
2.03,0.94,0.46,4.69,0.0,0.09
48.39,1.95,0.45,5.99,11.46,0.22
21.93,2.05,0.38,18.13,0.0,0.14
26.73,1.62,0.94,4.43,36.72,0.14
50.27,2.68,0.4,29.3,15.3,0.21
30.87,1.79,0.19,9.68,24.43,0.21
24.87,1.09,0.19,37.02,37.19,0.21
35.94,2.21,0.16,2.88,39.2,0.21
42.87,1.86,0.31,17.34,9.34,0.21
20.13,1.22,0.39,1.79,26.73,0.15
32.76,1.42,0.87,12.05,47.16,0.19
24.4,0.37,0.19,0.52,41.65,0.19
30.88,0.7,0.45,1.03,31.75,0.22
64.53,1.56,0.41,6.73,42.06,0.28
30.14,2.39,0.49,1.7,51.43,0.15
19.72,1.28,0.36,1.51,11.54,0.14
43.17,1.39,0.54,29.08,27.0,0.23
42.05,1.5,0.96,56.38,29.86,0.23
32.74,1.92,0.54,30.11,33.3,0.19
51.08,1.14,0.51,37.27,48.45,0.29
64.3,1.24,0.73,8.65,29.92,0.31
33.23,1.48,0.62,45.98,6.18,0.19
35.48,1.06,0.4,0.78,23.05,0.21
13.14,1.61,0.61,1.71,45.32,0.12
37.46,1.33,0.27,8.28,26.84,0.2
42.67,1.35,0.28,22.81,29.02,0.25
48.56,1.27,0.86,2.48,16.22,0.22
25.45,1.43,0.59,9.65,24.56,0.15
51.08,1.24,0.65,27.26,50.18,0.27
30.39,1.81,0.59,33.52,39.19,0.19
36.43,1.52,0.84,39.4,12.77,0.2
37.32,0.89,0.51,33.19,17.41,0.23
21.2,0.77,0.41,22.01,6.3,0.18
29.06,1.96,0.52,13.96,56.35,0.17
29.38,1.28,0.68,17.37,45.65,0.21
18.66,1.42,0.42,1.96,45.27,0.16
32.31,1.24,0.44,4.46,6.53,0.17
40.35,1.06,0.72,24.18,28.34,0.25
40.12,1.02,0.68,13.29,8.09,0.21
26.32,1.06,0.92,18.37,0.0,0.14
40.04,1.89,0.81,0.59,19.07,0.2
47.82,1.04,0.56,14.96,14.23,0.24
17.97,0.62,0.36,1.27,0.0,0.13
55.92,2.06,0.86,0.07,31.81,0.22
58.4,1.17,0.22,68.08,34.74,0.36
46.67,1.03,0.53,32.09,0.0,0.24
21.3,1.3,0.15,7.1,43.0,0.2
27.78,1.75,0.67,4.65,28.56,0.15
46.7,1.48,0.4,10.9,22.95,0.24
54.68,0.95,0.24,32.45,28.49,0.32
59.23,0.31,0.42,14.72,72.02,0.31
41.7,1.17,0.57,2.79,26.24,0.22
42.52,0.82,0.61,14.45,14.08,0.22
24.19,1.46,0.22,0.72,21.62,0.16
45.59,0.58,0.06,30.38,43.34,0.3
49.26,1.76,0.63,4.11,38.34,0.24
39.2,2.2,0.31,8.52,0.0,0.18
38.79,1.17,0.19,7.19,24.36,0.23
34.07,1.76,0.3,5.69,0.0,0.16
21.81,1.49,0.43,11.53,60.67,0.16
44.12,1.36,0.38,11.51,29.22,0.24
26.16,1.51,0.37,12.71,31.45,0.16
19.14,1.2,0.33,5.69,13.74,0.15
20.74,1.32,0.6,4.17,45.03,0.14
35.33,1.03,0.79,18.15,41.73,0.2
40.24,2.02,0.82,8.06,19.52,0.21
36.85,1.52,0.41,4.94,41.8,0.21
60.76,0.58,0.43,34.49,11.38,0.32
11.03,1.36,0.77,8.98,16.78,0.1
68.42,0.61,0.53,2.4,35.0,0.35
33.98,1.9,0.88,26.43,17.39,0.16
51.06,0.65,0.48,18.59,43.54,0.32
26.79,1.26,0.22,13.42,13.86,0.19
38.87,1.16,0.73,5.72,0.0,0.2
43.15,1.95,0.34,13.7,40.44,0.21
21.85,0.84,0.67,3.08,22.09,0.17
44.01,0.72,0.67,9.13,15.22,0.24
36.11,1.48,0.25,2.27,62.13,0.22
34.3,1.2,0.25,71.57,16.31,0.24
40.27,2.42,0.1,2.77,10.18,0.19
34.53,2.09,0.64,11.59,33.75,0.17
50.99,1.63,0.47,8.69,36.65,0.25
37.36,0.88,0.45,9.57,69.59,0.24
40.05,1.58,0.17,23.56,59.88,0.26
9.58,1.0,0.61,13.41,30.86,0.12
30.27,0.76,0.7,12.81,10.32,0.2
58.56,1.83,0.64,14.26,27.3,0.26
37.93,1.9,0.32,21.52,14.77,0.18
39.72,1.47,0.29,3.95,11.38,0.21
13.29,1.25,0.42,23.29,0.0,0.13
14.97,1.42,0.34,1.25,11.73,0.12
58.56,1.01,0.43,3.83,36.08,0.29
28.85,1.32,0.47,1.74,20.99,0.16
38.44,1.63,0.55,8.73,52.42,0.21
30.84,1.55,0.92,10.53,10.09,0.15
41.38,1.86,0.46,10.36,14.96,0.2
33.24,1.48,0.28,11.11,23.35,0.2
56.76,1.61,0.67,1.61,13.73,0.25
32.6,2.59,0.9,10.84,37.51,0.14
28.94,1.07,0.76,6.8,0.0,0.15
46.44,1.36,0.58,7.64,27.68,0.24
24.7,1.89,0.41,0.68,29.45,0.14
21.28,1.36,0.39,4.78,46.81,0.16
25.8,1.64,0.34,3.08,15.75,0.15
53.81,0.79,0.39,8.86,33.26,0.31
40.93,0.3,0.66,7.02,0.0,0.24
32.86,1.94,0.28,4.37,14.29,0.16
29.62,1.35,0.77,13.69,18.98,0.16
42.56,1.07,0.86,8.86,39.66,0.22
28.08,2.11,0.3,12.63,34.96,0.15
32.72,0.78,0.72,2.54,35.31,0.2
57.61,1.41,0.12,14.1,23.22,0.29
35.73,1.31,0.89,7.33,0.58,0.18
33.02,0.56,0.89,5.95,56.96,0.22
27.1,0.93,0.51,6.19,28.13,0.18
34.94,1.07,0.37,6.78,40.89,0.2
28.09,1.97,0.68,12.63,66.17,0.17
27.47,0.93,0.13,13.83,34.49,0.2
26.97,1.55,0.63,5.9,27.79,0.14
42.54,1.16,0.6,11.2,12.2,0.2
12.93,1.57,0.81,3.69,0.77,0.08
48.91,1.48,0.72,3.12,29.85,0.23
31.61,0.65,0.33,4.92,19.42,0.22
48.79,0.93,0.5,0.23,11.94,0.23
13.47,1.15,0.27,11.0,14.34,0.13
33.57,1.22,0.8,5.72,26.73,0.17
48.27,2.35,0.12,23.55,4.73,0.22
31.92,1.48,0.61,6.08,14.97,0.17
26.72,1.17,0.73,13.16,27.2,0.16
37.77,1.47,0.39,12.14,60.39,0.22
41.3,1.16,0.43,10.83,12.31,0.23
25.36,1.38,0.64,30.95,0.0,0.17
44.09,1.8,0.43,4.09,0.0,0.2
28.57,0.49,0.06,18.45,51.97,0.24
40.84,0.58,0.36,20.61,26.5,0.25
32.97,1.46,0.43,16.4,5.66,0.18
35.35,1.36,0.4,1.78,22.0,0.2
49.1,0.77,0.32,17.33,31.52,0.3
38.27,1.96,0.85,3.91,35.81,0.16
37.82,1.74,0.45,7.42,30.16,0.19
28.77,1.88,0.35,3.05,28.25,0.17
28.76,2.11,0.19,1.83,26.78,0.16
38.24,0.81,0.31,4.0,30.39,0.27
39.7,1.32,0.48,27.13,45.92,0.23
17.03,1.31,0.15,27.19,51.02,0.17
44.1,1.32,0.52,12.31,0.0,0.23
65.7,1.85,0.91,13.62,0.0,0.26
41.82,1.2,0.4,1.38,51.97,0.24
29.3,1.36,0.78,6.74,36.75,0.17
67.64,1.51,0.39,9.18,44.88,0.31
48.75,1.23,0.82,10.49,36.52,0.26
36.65,0.85,0.48,2.17,14.68,0.22
42.44,1.7,0.32,19.76,28.07,0.24
33.55,1.32,0.8,3.33,75.91,0.2
37.46,1.44,0.31,7.98,5.79,0.22
30.36,1.92,0.72,11.03,29.4,0.31
22.39,1.2,0.44,3.49,13.8,0.15
65.12,1.2,0.24,29.38,35.27,0.36
31.61,1.9,0.32,4.2,45.36,0.17
52.29,1.11,0.56,3.25,0.0,0.25
60.48,1.27,0.35,15.8,64.91,0.32
37.6,1.64,0.49,25.28,28.07,0.22
44.03,1.72,0.43,6.76,46.83,0.24
46.2,1.48,0.81,8.09,10.56,0.21
5.93,0.59,0.48,8.96,30.97,0.12
58.77,1.68,0.44,5.66,59.55,0.28
28.88,1.84,0.73,9.34,28.64,0.14
23.48,1.33,0.28,25.31,18.81,0.17
41.37,1.58,0.57,12.14,31.23,0.23
58.13,1.25,0.76,3.04,15.77,0.28
36.14,0.31,0.4,17.23,0.0,0.23
50.84,0.79,0.65,6.09,0.0,0.27
31.64,1.71,0.61,11.63,33.8,0.18
30.97,0.98,0.4,43.99,8.62,0.21
68.49,1.1,0.5,8.0,22.38,0.3
45.39,1.53,0.51,17.35,48.73,0.24
24.06,1.76,0.45,15.62,0.0,0.14
23.52,1.43,0.36,8.48,2.25,0.15
41.66,0.74,0.78,31.96,13.75,0.24
45.74,1.61,0.75,19.81,32.94,0.23
35.03,1.53,0.51,21.18,50.47,0.21
20.3,1.51,0.24,14.41,39.1,0.17
31.16,0.7,0.58,8.13,16.8,0.2
46.15,1.57,0.28,15.35,0.0,0.23
23.72,1.56,0.17,17.48,38.34,0.2
34.04,1.9,0.18,0.68,4.16,0.17
57.92,0.95,0.89,15.23,43.25,0.29
29.33,1.68,0.46,14.93,18.5,0.16
30.84,1.16,0.65,3.32,41.31,0.18
38.56,1.2,0.63,1.56,21.07,0.2
24.8,0.92,0.87,15.01,18.37,0.16
33.99,0.67,0.17,13.03,17.83,0.23
42.48,0.85,0.61,9.99,23.19,0.24
40.01,1.77,0.49,8.13,6.06,0.18
23.83,0.3,0.65,28.56,78.16,0.22
39.42,0.81,0.73,20.54,25.83,0.22
53.69,0.77,0.31,4.66,36.26,0.3
39.04,1.07,0.74,5.97,49.05,0.21
49.44,1.04,0.6,2.76,0.0,0.25
56.32,0.65,0.45,6.63,0.0,0.27
49.27,1.7,0.49,33.88,5.84,0.23
42.44,1.49,0.54,12.07,16.56,0.21
30.16,1.24,0.49,6.1,27.67,0.19
27.57,1.56,0.17,5.5,41.72,0.19
26.36,0.63,0.92,20.58,23.75,0.18
45.39,1.79,0.75,20.89,39.99,0.21
36.89,0.74,0.47,5.92,0.0,0.22
46.78,1.49,0.58,2.04,0.0,0.21
29.18,2.06,0.83,6.91,35.61,0.18
48.82,0.3,0.13,12.27,5.03,0.3
44.05,1.39,0.51,5.25,10.49,0.21
24.19,1.64,0.34,10.37,37.27,0.16
25.64,0.84,0.31,21.73,19.76,0.19
29.68,1.14,0.21,0.06,0.0,0.19
49.12,1.74,0.67,17.33,18.39,0.22
19.65,1.66,0.14,7.19,0.0,0.14
38.57,0.36,0.22,5.66,32.82,0.24
45.06,1.89,0.74,14.67,10.21,0.18
44.0,1.66,0.67,6.18,38.18,0.23
37.88,0.97,0.63,1.97,22.93,0.21
45.29,1.67,0.6,13.71,41.91,0.23
24.82,1.17,0.7,3.74,13.43,0.16
73.33,1.54,0.66,5.15,0.0,0.32
25.82,1.06,0.17,17.41,20.72,0.2
60.91,0.92,0.32,29.37,42.44,0.34
43.57,0.62,0.95,5.65,0.0,0.21
41.32,1.89,0.77,7.15,30.29,0.19
60.69,0.48,0.68,26.28,40.56,0.33
30.79,1.66,0.92,9.32,12.81,0.14
54.11,1.35,0.68,15.54,0.0,0.27
40.36,0.91,0.86,2.46,28.46,0.2
50.7,1.5,0.14,5.58,18.25,0.26
45.45,1.06,0.3,18.03,8.12,0.24
19.08,1.74,0.49,12.54,39.57,0.14
47.22,1.68,0.11,3.06,25.98,0.26
52.29,1.7,0.51,3.66,32.89,0.25
36.65,1.48,0.23,7.7,0.0,0.2
49.67,1.0,0.72,9.67,34.08,0.26
38.54,1.25,0.93,12.75,16.64,0.18
28.29,2.57,0.53,0.58,12.46,0.13
18.54,0.78,0.4,2.28,9.93,0.14
34.21,0.75,0.76,1.12,33.51,0.2
2.81,1.05,0.46,7.74,0.0,0.09
34.0,1.47,0.34,1.43,11.51,0.19
28.79,0.91,0.76,43.73,24.26,0.2
34.26,1.15,0.58,3.45,26.55,0.19
36.39,1.92,0.85,23.02,0.0,0.21
24.31,1.04,0.14,6.78,22.21,0.18
67.62,1.2,0.46,17.28,2.32,0.32
31.53,1.26,0.39,2.35,44.2,0.21
24.12,1.62,0.42,9.33,30.75,0.15
54.71,1.0,0.33,6.57,14.13,0.27
